ST_CODE,ST_NAME,AC_NO,AC_NAME,CANDIDATE,CANDIDATE_SEX,CANDIDATE_AGE,CANDIDATE_CATEGORY,PARTY,VOTES
S04,Bihar,1,Valmikinagar,Dhirendra Pratap Singh alias Rinku singh,MALE,40,GENERAL,JD(U),74906
S04,Bihar,1,Valmikinagar,Rajesh Singh,MALE,42,GENERAL,INC,53321
S04,Bihar,1,Valmikinagar,Sumant Kumar,MALE,26,ST,JAPL,18409
S04,Bihar,1,Valmikinagar,Baidyanath Prasad,MALE,61,ST,BSP,14498
S04,Bihar,1,Valmikinagar,Mahendra Kumar Bharti,MALE,64,GENERAL,LJP,6612
S04,Bihar,1,Valmikinagar,Deepak Kumar Malakar,MALE,39,GENERAL,BPL,4279
S04,Bihar,1,Valmikinagar,Gaurav Jha,MALE,33,GENERAL,TPLRSP,2863
S04,Bihar,1,Valmikinagar,Saket Kumar Pathak,MALE,39,GENERAL,JNSNGHDL,2735
S04,Bihar,1,Valmikinagar,Mahmad Jalil,MALE,62,GENERAL,IND,2657
S04,Bihar,1,Valmikinagar,Rajesh Kumar,MALE,36,GENERAL,IND,2608
S04,Bihar,1,Valmikinagar,Tirthraj Yadav,MALE,42,GENERAL,IND,2515
S04,Bihar,1,Valmikinagar,Kumari Rajwanti Kushwaha,FEMALE,34,GENERAL,IND,1996
S04,Bihar,2,Ramnagar,Bhagirathi Devi,FEMALE,70,SC,BJP,75423
S04,Bihar,2,Ramnagar,Rajesh Ram,MALE,51,SC,INC,59627
S04,Bihar,2,Ramnagar,Subodh Kumar,MALE,55,SC,BYPP,26063
S04,Bihar,2,Ramnagar,5 Lorik Das,MALE,48,SC,FJKSP,4331
S04,Bihar,2,Ramnagar,Lokesh Ram,MALE,31,SC,RLSP,4051
S04,Bihar,2,Ramnagar,Ramayan Paswan,MALE,30,SC,IND,3793
S04,Bihar,2,Ramnagar,Vinay Ram,MALE,26,SC,JDR,3215
S04,Bihar,2,Ramnagar,Awadh Kishor Ram,MALE,45,SC,IND,3111
S04,Bihar,2,Ramnagar,Ayush Kumar,MALE,25,SC,IND,2671
S04,Bihar,2,Ramnagar,Ramnaresh Baitha,MALE,39,SC,IND,2460
S04,Bihar,2,Ramnagar,Champa Devi,FEMALE,56,SC,TPLRSP,1412
S04,Bihar,3,Narkatiaganj,RASHMI VARMA,FEMALE,53,GENERAL,BJP,75484
S04,Bihar,3,Narkatiaganj,VINAY VARMA,MALE,67,GENERAL,INC,54350
S04,Bihar,3,Narkatiaganj,RENU DEVI,FEMALE,39,GENERAL,IND,7674
S04,Bihar,3,Narkatiaganj,NAUSHAD AHMAD,MALE,44,GENERAL,LJP,5408
S04,Bihar,3,Narkatiaganj,5 MANJEET KUMAR VERMA,MALE,54,GENERAL,RLSP,2913
S04,Bihar,3,Narkatiaganj,NATHU RAVI,MALE,45,SC,IND,2051
